card,english,german
a1,normal distribution,Normalverteilung
a2,hysteresis remanence,Hysterese Remanenz
a3,military rank,militärischer Rang
a4,batch achievement,batch achievement
a5,access based enumeration (ABE),Zugriffsbasierte Auflistung
a6,object oriented programming (oop) class,objekt orientierter ansatz klasse
a7,design pattern,designpattern
a8,observer pattern,Beobachter Entwurfsmuster
a9,[pattern|face] recognition,Gesichtserkennung
a10,public class object,öffentliche Klasse Objekt
a11,artificial intelligence (AI),Künstliche Intelligenz (KI)
a12,system theory,Systemtheorie
a13,hierarchy,Hierarchie
a14,EZAK IMAK - hun in the sun,KamiKaze - Hunne in der Sonne
a15,reversibility - bijectivity,Umkehrbarkeit - Bijektivität
a16,suicide death bot,Suizid induzierende Software
a16b,suicide death bot - spinal cord,"Suizid" über Rückenmarksimplantat
a17,procastrinate when 80% done,prokrastinieren when 80% der Arbeit erledigt
a18,access based enumeration (ABE) part 2,Zugriffsbasierte Auflistung Teil 2
a19,psychological profile from eye movement,Psychologie Profil von Augenbewegungen
a20,language level detecxtion (nasty filter rule),sprachniveau erkennung (filter regel)
a21,F=T∇S𝜏  Equation for intelligence,F=T∇S𝜏 Formel für Intelligenz
a22,efficiency detection,Effizienzerkennung
a23,(inverse) cinematics,(Invers-)Kinematik
a24,cognitive dissonance detection,Kognitive Dissonanz Erkennung
at1,Assassin,Attentäter
b1,amygdala,Amygdala
b2,Pituitary gland or hypophysis,Glandula pituitaria oder Hypophyse
b3,nucleus accumbens,Nucleus accumbens
b4,EEG / flash short term memory / qFire?,EEG / gehirn blitz weg dings / qFire?
bio1,phylogenetic tree,Phylogenetischer Baum
bo1,induced burnout,induziertes Burnout
c1,beer,Bier
c2,weed / canabis,Gras Haschisch Hanf
c64,c64 Ultimate Talk,c64 Ultimate Talk
co1,state [diagram|machine],Zustandsdiagramm / Endlicher Automat
co2,rawhammer attack of the mind,Rawhammer Attacke für die Psyche
co3,carnivore,Carnivore
co4,piracy & relicensing,Raubkopieren & Nachlizenzieren
co5,how they >try< to delete the brain,wie sie versuchen das gehirn zu löschen
co6,induced rage,induzierte Wut
co7,social network graphs,Sozio-Netzwerk Graphen
co8,eStim,Elektrostimulation
co9,driving whistlebloers away from ISPs,Whistleblower vom Netz wegtreiben
co10,pre rendered destruction (als m98),vorausgerenderte Zerstörung
co11,brain implants info deffence statemachine,xxxxxxxx
co12,behavioral science stealth mode cam,Verhaltenswissenschaftlich getarnte Kamera
cpu1,INTEL Management Engine,INTEL Management Engine
dc1,joker card,Joker Karte
dc2,how to intimidate a complete group (ma4),wie man eine Gruppe einschüchtert (ma4)
dc3,cheap food,billiges essen
dc4,military people at technoparties,Militär an Technoparties
dc5,we should change that,wir sollten das ändern
dc6,Matrix "Architect",Matrix "Architekt"
dc7,vintage computing,alte Computer
dc8,1950s design psychology,1950er Gestaltungspsychologie
dc9,aledged domain model switzerland,mutmassliche Baupläne Schweiz
dc10,crypto beginners toolkit,Verschlüsselungs Anfänger Baukasten
dp1,access based enumeration (ABE),Zugriffsbasierte Auflistung
dp2,class,Klasse
dp3,design patterns,Entwurfsmuster
dp4,observer pattern,Beobachter Entwurfsmuster
dt1,you killed!!! (Psychology Backdoor),du hast gemordet (Psychologische Hintertür)
dt2,warnen,Warnen
dt3,cAPI <parameter>,cAPI <Parameter>
dt4,you planted booby traps (Psychology Backdoor),du hast Cyber-Sprengfallen gepflanzt)
e1,[vacuum|electron] tube,Elektronen-Röhre
e2,cavity magnetron,Holraum Magnetron
e3,[tunnel|ESAKI] diode,Tunnel Diode
e4,antenna,Antenne
e5,multiple sensors,sensor array
e6,equation group [malware|built-in],equation group [malware|built-in]
endo1,endocrinology,Endokrinologie
env1,save energy,Energie sparen
env2,slums,Slums
env3,ad busting,ad busting
eye1,retina ccd,Augen Kamera
g1,le chuck,le chuck
g2,Guybrush Threepwood,Guybrush Treepwood
g3,Stan (M$ salesman),Stan (M$ Verkäufer)
g4,voodoo-lady,Voodoo Hexe
gp1,COEXIST,COEXIST
ha1,senior hacker,Senior Hacker
ibm1,vintage computing,alte Computer (doppelt)
ja1,worrier archetype 1,KriegerArchetyp 1
ja2,angle archetype,EngelArchetyp
ja3,wrong angle archetype,Falscher EngelArchetyp
ja4,worrier archetype 2,KriegerArchetyp 2
ja5,father archetype,VaterArchetyp (typo)
ja6,mother archetype,MutterArchetyp
ja7,child archetype,KindArchetyp
m1,ink blot test (fixation),Rorschachtest (Objektfixierung)
m2,cuddly toys (fixation),Kuscheltier (Objektfixierung)
m3,pottery crafts,Töpfern
m4,thrunky the elephant,RüsselElefant
m5,student dignity (scapegoat),Studentenwürde (Sündenbock)
m6,doctors dignity,Doktorwürde
m7,stick,Peitsche
m8,carrot,Zuckerbrot
m9,YOU are Schizophrenic,Du bist schizophren
m10,you ARE not INSANE,Du spinnst
m11,[mental|piagetian] operations,Model von Jean Piaget
m12,porn,Porno
m13,global warfare,Globale Kriegsführung
m14,world peace game,WeltFriedens Spiel
m15,limbic system vulnerability,Limbisches System Sicherheitslücke
m15-mod,limbic system vulnerability,Limbisches System Sicherheitslücke
m15-mod2,limbic system vulnerability part2,Limbisches System Sicherheitslücke Teil2
m16,scc bdsm, SaveSane Bondage Sado Masochism
m17,scheme of a childlike characteristics,Kindchenschema
m18,deleted scenes,gelöschte Szenen
m19,mental institution,Psychiatrie
m20,chains rattling,Kettenrasseln
m21,trauma based mind control,Traumabasiertes MindControl
m22,fixation (psychologie),Objektfixierung
m23,skeleton in the cupboard,Leiche im Keller
m24,morality,moral / wertesystem
m25,money,geld
m26,law article,gesetz(es) Artikel
m27,conspiracy theory,Verschwörungstheorie
m28,conspiracy,Verschwörung
m29,submissive pet,Unterwürfiges Haustier
m30,maslow's hierarchy of needs,Maslowsche Bedürfnispyramide
m31,pink unicorn pony,Rosa Einhorn Pony
m32,induced "self" injury,induizerte Selbstverletzung
m33,xxxxx,xxxxxx
m34,xxxxx,xxxxxx
m35,hypocrisy,hochmut
m36,xxxxx,xxxxxx
m37,mirror jury,SpiegelGericht
m38,Jus Primae Noctis Rape to gain access
m39,xxxxx,xxxxxx
m40,winning && arrogance,Gewinnen und Hochmut
m41,rapist terrorist,Vergewaltiger Terrorist
m41b,rapist terrorist (female),weiblicher Vergewaltiger Terrorist
m41c,winkelried (altruism),Winkelried (Altruismus)
m42,role toggler,Rolle tauschen Funktion
m43,military curt,MilitärGericht
m44,induced suicide,induzierter Suizid
m45,existential anxiety,Existenzangst
m46,induced and commited suicide,vollendeter induzierter Suizid
m47,ABDL,Adult Baby Diaper Lovers
m48,aversion archetype,AversionsArchetyp
m49,anti-psychotics (Part2),Psychopharmaka (Teil2)
m50,stanford prison "experiment",antagonizing [situation|medication]
m51,weapon (part1),Waffen (Teil1)
m52,weapon (part2),Waffen (Teil2)
m53,digital doomsday (fr-097),Digitales Jüngstes Gericht
m54,LRU algorithm,sollte MRU sein
m55,the speaker is lying,das Gegenüber lügt
m56,indimidation,Drohung
m57,fear detection,Furcht-Erkennung
m58,strapping psychiatric patients,Fixierbett
m59,symbol minded spirit,Symbolgesteuerter Geist
m60,location based [psychoTerror|PsyWar],ortsbasierter [Psychoterror|Psych.Kriegsführung]
m61,touring complete victim,touring vollständiges Opfer
m62,suicide death bot infection path,Suizid induzierende Software Infektionspfad
m63,induced avoidance behavior,induziertes Vermeidungsverhalten
m64,ways to and up in mental institutions,wie man in der Psychiarie landet
m65,mindcontrol,"GedankenKontrolle"
m66,apple-baum,verbotener Apfelbaum
m67,everything is good / you won,alles ist gut / du hast gewonnen
m68,separating one sheep from the herd,jagd auf ein einzelnes
m69,overload operators methods and symbols,Überladen von Operatoren
m70,SkinnerBox Part2 && Lehen (ger),Skinner-Box Part2 Lehen
m71,Rescuing pedophilia victims,Pädophilie Opfer retten
m72,age based access control,Altersbasierte Zugriffsrechte
m73,prostatae implant,Prostata Implantat
m74,escalation algorithm,Eskalations Algorithmu
m75,genius wanted (hopefully alive),Genie gesucht (hoffentlich lebend)
m76,principles of behavior,Prinizipien der Verhaltenstheorie
m77,faith detection,Vertrauen erkennen
m78,locked notes,blockierte schirftliche Notizen
m79,revictimize unfaithfulness,Untreue Revicitmizen
m80,maximum profit algorithm,Maximaler Ertrag Algorithmus
m81,dalayed voice + overlay with different person,verzögerte übermittlung und Fremdüberlagerung
m82,homeopatic devices against electromagnetic radiation,Esotherik Geräte
m83,"Pferd" zureiten,"Pferd" zureiten
m84,cyber fluorescent pen,Cyber-Leuchtstift
m85,cyber red pen,Cyber-Rotstift
m86,guilty conscience driven mind control (m23),Mindcontrol mittels schlechtem Gewissen (m23)
m87,spontaneous discharge,Spontane Entladung
m88,avoid big system-changes in little time,Grosse Systemänderung in kurzer Zeit vermeiden
m88b,bit system-changes in little time as weapon,Grosse Systemänderung in kurzer Zeit als Waffe
m89,security software and exploitation,Ausnutzen von Sicherheitssoftware
m90,drugs = fixation (psychology),Drogen/Medis = Objektfixierung
m91,project paperclip,Projekt Büroklammer
m92,optically discredit people,Optische Diskreditierung
m93,commit suicide <font color=red>jump now</font>,Suizid vergehen <font color=red>spring jetzt</font>
m94,induced depression,Induzierte Depression
m95,"Enlightenment" with drugs,Erleuchtung mit Drogen
m96,Twin Towers 9/11,Twin Towers
m97,[good|bad] gamification,[gute|schlechte] Gamification
m98,3D model of victims apartment,3D Modell der Wohung des Opfers
m99,3D model of victims body,3D Modell des Körpers des Opfers
m100,HACKER ETHics,Hacker Ethik
m101,second use case for RUP graphic,2. Anwendungsfall für RUP Grafik
m102,5 monkeys, 5 Affen
m103,transitive relation (mathematics),Transitive Relation (Mathematik)
m104,revenge porn,Rache Porno
m105,[death|circle|of life] xxxxx,[death|circle|of life] xxxxx
m106,jaro winkler pattern matching,Jaro Winkler Mustervergleich
m107,debris-X (Foucault dispositiv),debris-X (Foucaultsches SexualitätsDispositiv)
m108,ICD 10 F44.x Dissociation,ICD 10 F44.x Disso
m109,pedo plagiarism algorithm xxxxx,Pädo Plagiats Algirithmus
m110,d-raum amts-anmassungs Zombi,d-raum amts-anmassungs Zombi
m111,sealing wax / glitter(-bomb),Siegelwachs / Glitter(-Bombe)
m112,algorithms for automated psychological warfare,Automatische Psychologische Kriegsführung
m113,pre-detection of euphoria and pain of certain informaion,vorausberechung ob euphorisiernd oder schmerzend eine information ist
m114,footprinting your own EEG Data, to defend against m112/m113 
m115,zombi/BOT broadcast Message (personalized),Zombi/BOT Broadgast Message (personalisiert)
m115b,we only 2ant to "help" you,wir wollen nur "helfen"
m116,nightly erase of relevant information,nächtliches Überschreiben von wichtiger Information
m117,nightly installation of irrelevant information,nächtliches Instlalieren wichtiger Infos
m118,automated mindmap with image input and EEG return path,autimatisches erstellen eines mindmaps mit grafischem Input und EEG rückwärtskanal
m119,borg hive frequency scanning,Borg Kollektiv Frequenz Scanning
m120,simultaneous "chess" "game",Simultanpartie
m121,blessings,verletzungen
m122,giving multiple reasons at the same time (difusion),mehrere Gründe angeben (Difusion)
m123,attacks that lead to the same problem/result,angriffe die zum selben effekt führen
m124,don't stare at the sun algorithm,Nicht in die Sonne schauen algi
m125,search detection,suchen erkennen
m126,touring complete avatars that spam the justice system,TouringVollständige Avatare die das Justizssystem spammen
m127,preparation of psy-triggers,vorbereitung von Psychologie "Sprengfallen"
m128,action recognition (luck detection),Aktions-Erkennung (glück Erkenung)
m129,harmony detection (equal aged),Harmonie Erkennung
m130,love detection (equal aged),Erkennung von Liebesgefühlen
m131,confessional,Beichtstuhl
m132,to force others to do your work,seine Probleme zum Problem anderer machen
m133,seductive coercion (Part 1),Verführerischer Zwang (Teil 1)
m134,seductive coercion (Part 2),Verführerischer Zwang (Teil 2)
m135,intentionally diagnosing schizophrenia instead of autism,Schizophrenie statt Autismus diagnostizieren
m136,the sum of psychological keys is constant,Die Summe der Psychologischen Schlüssel ist konstant
m137,interface for social-psychology design patterns,schnittstelle für sozio-psychologie Muster
m138,CIA/NSA needs informations (honeyPot),CIA/NSA braucht infos XXXXXX?
m139,george orwell 1984 rat scene xxxxx, George Orwell 1984 Ratten Szene
m140,marc@debian:~ landev -d -v -v -v,marc@debian:~ landev -d -v -v -v
m141,xxxxx,xxxxx
m142,multilane app for socio-psychology things,Partitur für SozioPsychologie Dinge
m143,socio-psychology rootkit for mental institutions,Psychiatrie SozioPsychologie Rootkit
m144,communication scheme between patients un mental institutions,Kommunikationsschma
m145,adaptive learning algorithm that adapts places to hide,Adaptiver Lerning Algorithmus
m146,"fair" "game","Fairplay"
m147,XXXXX,xxxxx
m148,bitching durch blums,bitching durch blums
m149,it's your own "fault",alles deine Schuld
m150,"Anti"psychotics,Psychopharmaka
m151,i know that already,ich weiss das schon (ignoranz)
m152,karma system-dynamics,Karma System-Dynamik
ma1,Bonnie and Clyde,Bonnie and Clyde
ma2,BaseCap-Hero,BaseCap Held
ma3,Secretary-scapegoat (the fan),Sekretärin (Sündenbock)
ma4,captive (the recruit),Geisel
ma5,judge archetype,richter Archetyp
ma6,sophie scholl archetype,Sophie Scholl Archetyp
ma7,crazy tin foil hat,AluHut Spinner
ma8,disinformation archetype,Fehlinformations-Archetyp
ma9,voodoo-lady (part 2),voodoo Lady (Teil 2)
ma10,capitalist archetype,Kapitalisten Archetyp
ma11,Borg hive xxxxx,Borg Bienenstock
mos1,simpsons mental operating system,simpsons mental operating system
mos2,pedo mental operating system,Pädophilien Mental Operating system
mos3,nazi mental operating system,Nazi mental operating system
mos4,ritual abuse mental operating system,ritueller Missbrauch mental operating system
mos5,forced marriage oerating system,Zwangsehe mental operating system
mos6,illegal drugs mental operating system,Drogen mental operating system
mp1,hannibal lecter,hannibal lecter
mp2,catherine deane,catherine deane
p1,sigmund freud,sigmund freud
p2,wilhelm reich,wilhelm reich
p3,jean piaget,jean piaget
p4,carl custav jung,carl gustav jung
p5,B.F. Skinner,B.F. Skinner
p6,Benjamin Bloom,Benjamin Bloom
p7,Clark Hull,Clark Hull
p8,edward c. tolman,edward c. tolman
philo1,Admin = God?,Admin = Gott?
philo2,eternal live,Ewiges Leben
q1,Cube,Würfel / Würfeli
r1,TOR-Repository
ra1,Ku Klux Klan Archetype
ra2,slave,Sklave
ra3,Emperor,Imperator
ra4,Jesus Archetype,JesusArchetyp
ra5,Chastity-Belt,Keuschheitsgürtel
s1,crown,Krone
s2,fool's cap,Narrenkappe
s3,laurel wreath,Lorbeerkranz
s4,lion,Löwe
scg1,Soldier,Soldat
scg2,Gamer,Gamer
scg3,Peppi drug scapegoat,Peppi Drogen Sündenbock xxxxx Laborratte?
scg4,IT Soldier scapegoat,Informatik Soldat Sündenbock
scg5,IT Supporter Scapegoat,EDVSupporter Sündenbock
scg6,technology enthusianst scapegoat,Technologie Enthusiast Sündenbock
sk1,Statemachine (bad for kids),Endlicher Automat (schlecht für Kinder)
smoke1,wait time,zeit schinden
stsct1,VDSL-Frequencies,VDSL Freuqenzen
stsct2,XXXXX ax.25,ax.25
stsct3,Microspione,Micorspione
t1,stimoceiver,Stimoceiver
t2,Skinner Box,Skinner Box
t3,NeuroNexus Implants,NeuroNexus Implantate
t4,EEG / OpenBCI, EEG / OpenBCI
t5,Chemitrode,Chemitrode
t6,spinal cord iplant,Rückenmark Implantat
t7,3D GameEngine,3D GameEngine
t8,Quadrophonic,Quadrophonie
t9,Hardware Synthesizer / Sampler,Hardware Synthesizer / Sampler
t10,Loop Recorder (Dormiphone)
t11,classical conditioning,Klassische Konditionierung
t12,microwafe hearing (frey effect),Frey Effekt
t13,moved to c1, moved to c1
t14,EventTrigger,EventTrigger
t15,Active Denial System,Active Denial System
t16,PoliceCar,Polizei Wagen (Stimuli-Reaktion)
t17,XXXXX,xXXXXX
t18,WiFi / Bluetooth or other beacon,Wifi / Bluetooth Barke
t19,Cyber choking chain,Cyber Würgekette
t20,xxxxx,xxxxx
t21,touring complete avatar,TouringVollständiger Avatar
t22,robot teaching mode,Roboter programmier Modus
t23,Loop Recorder (Part 2),Endlosband (Part 2)
t24,Glass Spähre,Glas Kugel
t25,m-com-station,m-com-station
t26,Antenna (Wasserflue),Antenne (Wasserflue)
t27,Fill-Gun,Fill-Device
t28,Needle Array,NadelArray
t29,mobile black-site m-com-station,Mobile m-com-station
t30,mri/mrt,mri/mrt
t31,group policies,GruppenRichtlinien
t32,Loop Recorder (Part 3),Loop Recorder (Teil 3)
t33,Industrial Automation,Industrielle Automatisierung
t34,hiding data and evidence,Daten und Beweismittel verstecken
t35,CIA Mainframe,CIA Mainframe
t36,(Cyber-)Isolation Cell,Cyber-IsolationsZelle
t37,ICD10-F44.x Chess Clock,ICD10-F44.x Schachuhr
t38,infrared ray weapon maybe in every display?,infrarot waffe in bildschirmen?
t39,crime scene 3D scanner,3D Tatort Scanner
w1,whistleblower,whistleblower
w2,whistleblower blowjob,whistleblower blowjob







